#1,2
#Volt,Volt
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.933592840E+00,+194.796309E-03
+2.987864196E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.933592840E+00,+196.957113E-03
+2.987864196E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+160.223443E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+160.223443E-03
+2.875703393E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.872085303E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.872085303E+00,+229.369175E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.875703393E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.875703393E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.933592840E+00,+194.796309E-03
+2.987864196E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
+2.875703393E+00,+194.796309E-03
+2.987864196E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+162.384247E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+196.957113E-03
+2.929974750E+00,+229.369175E-03
+2.929974750E+00,+194.796309E-03
+2.929974750E+00,+194.796309E-03
