x-axis,1,2
second,Volt,Volt
-500.000E-06,,
-498.438E-06,,
-496.875E-06,,
-495.313E-06,,
-493.750E-06,,
-492.188E-06,,
-490.625E-06,,
-489.063E-06,,
-487.500E-06,,
-485.938E-06,,
-484.375E-06,,
-482.813E-06,,
-481.250E-06,,
-479.688E-06,,
-478.125E-06,,
-476.563E-06,,
-475.000E-06,,
-473.438E-06,,
-471.875E-06,,
-470.313E-06,,
-468.750E-06,,
-467.188E-06,,
-465.625E-06,,
-464.063E-06,,
-462.500E-06,,
-460.938E-06,,
-459.375E-06,,
-457.813E-06,,
-456.250E-06,,
-454.688E-06,,
-453.125E-06,,
-451.563E-06,,
-450.000E-06,,
-448.438E-06,,
-446.875E-06,,
-445.313E-06,,
-443.750E-06,,
-442.188E-06,,
-440.625E-06,,
-439.063E-06,,
-437.500E-06,,
-435.938E-06,,
-434.375E-06,,
-432.813E-06,,
-431.250E-06,,
-429.688E-06,,
-428.125E-06,,
-426.563E-06,,
-425.000E-06,,
-423.438E-06,,
-421.875E-06,,
-420.313E-06,,
-418.750E-06,,
-417.188E-06,,
-415.625E-06,,
-414.063E-06,,
-412.500E-06,,
-410.938E-06,,
-409.375E-06,,
-407.813E-06,,
-406.250E-06,,
-404.688E-06,,
-403.125E-06,,
-401.563E-06,,
-400.000E-06,,
-398.438E-06,,
-396.875E-06,,
-395.313E-06,,
-393.750E-06,,
-392.188E-06,,
-390.625E-06,,
-389.063E-06,,
-387.500E-06,,
-385.938E-06,,
-384.375E-06,,
-382.813E-06,,
-381.250E-06,,
-379.688E-06,,
-378.125E-06,,
-376.563E-06,,
-375.000E-06,,
-373.438E-06,,
-371.875E-06,,
-370.313E-06,,
-368.750E-06,,
-367.188E-06,,
-365.625E-06,,
-364.063E-06,,
-362.500E-06,,
-360.938E-06,,
-359.375E-06,,
-357.813E-06,,
-356.250E-06,,
-354.688E-06,,
-353.125E-06,,
-351.563E-06,,
-350.000E-06,,
-348.438E-06,,
-346.875E-06,,
-345.313E-06,,
-343.750E-06,,
-342.188E-06,,
-340.625E-06,,
-339.063E-06,,
-337.500E-06,,
-335.938E-06,,
-334.375E-06,,
-332.813E-06,,
-331.250E-06,,
-329.688E-06,,
-328.125E-06,,
-326.563E-06,,
-325.000E-06,,
-323.438E-06,,
-321.875E-06,,
-320.313E-06,,
-318.750E-06,,
-317.188E-06,,
-315.625E-06,,
-314.063E-06,,
-312.500E-06,,
-310.938E-06,,
-309.375E-06,,
-307.813E-06,,
-306.250E-06,,
-304.688E-06,,
-303.125E-06,,
