# T = 21.5°C
# p/mBar | Counts1 | Counts2 | Counts3 | Counts4
   0,  0,  0,  0,  0
  50,  3,  3,  4,  6
 100,  5,  5,  6,  7
 150,  7,  7,  7,  7
 200,  9,  9,  9, 10
 250, 11, 11, 11, 11
 300, 13, 13, 13, 13
 350, 15, 15, 15, 15
 400, 17, 17, 18, 18
 450, 19, 20, 20, 21
 500, 22, 22, 22, 22
 550, 25, 24, 24, 25
 600, 27, 26, 26, 27
 650, 29, 28, 28, 28
 700, 31, 30, 30, 30
 750, 33, 32, 32, 32
 800, 35, 34, 34, 35
 850, 37, 37, 37, 38
 900, 39, 39, 39, 39
 950, 42, 40, 41, 42
1000, 45, 42, 44, 43
1029, 49, 51, 46, 45
